Date,Open,High,Low,Close,VIX_close
2005-01-03,0.713012,0.717,0.713012,0.71582,14.08
2005-01-04,0.715615,0.715615,0.710581,0.702593,13.98
2005-01-05,0.701115,0.701607,0.699105,0.702988,14.09
2005-01-06,0.697983,0.700378,0.696185,0.698178,13.58
2005-01-07,0.701213,0.704622,0.696621,0.696621,13.49
2005-01-10,0.696282,0.696282,0.694879,0.69512,13.23
2005-01-11,0.697983,0.697983,0.697301,0.697399,13.19
2005-01-12,0.697885,0.704176,0.696185,0.706914,12.56
2005-01-13,0.705716,0.706514,0.704821,0.704424,12.84
2005-01-14,0.699888,0.701607,0.698714,0.700084,12.43
2005-01-17,0.700476,0.70082,0.696621,0.697496,12.45
2005-01-18,0.692809,0.696282,0.691515,0.697885,12.47
2005-01-19,0.699496,0.704523,0.699496,0.702099,13.18
2005-01-20,0.702889,0.705318,0.701804,0.704722,13.83
2005-01-21,0.706015,0.711491,0.706015,0.712301,14.36
2005-01-24,0.714592,0.715717,0.714286,0.71449,14.65
2005-01-25,0.713012,0.714694,0.711389,0.711086,14.06
2005-01-26,0.712301,0.719011,0.712301,0.717,13.44
2005-01-27,0.717103,0.717515,0.715308,0.716486,13.24
2005-01-28,0.714898,0.715001,0.712708,0.712708,13.24
2005-01-31,0.713012,0.713878,0.710985,0.712606,12.82
2005-02-01,0.710581,0.710682,0.709824,0.709824,12.03
2005-02-02,0.713216,0.714082,0.711491,0.712708,11.66
2005-02-03,0.713012,0.713725,0.70922,0.709925,11.79
2005-02-04,0.711288,0.712606,0.710985,0.711896,11.21
2005-02-07,0.707314,0.707614,0.706514,0.703878,11.73
2005-02-08,0.701607,0.701607,0.698422,0.700722,11.6
2005-02-09,0.699594,0.701705,0.699594,0.699986,12.0
2005-02-10,0.704622,0.708015,0.704424,0.710682,11.51
2005-02-11,0.710783,0.714286,0.710783,0.714286,11.43
2005-02-14,0.714796,0.717206,0.71398,0.716486,11.52
2005-02-15,0.715103,0.715922,0.713521,0.714388,11.27
2005-02-16,0.716076,0.716076,0.713521,0.713623,11.1
2005-02-17,0.715512,0.717721,0.715308,0.718804,11.77
2005-02-18,0.717875,0.722491,0.717875,0.72469,11.18
2005-02-21,0.723903,0.725321,0.723694,0.725111,12.16
2005-02-22,0.729607,0.730514,0.729288,0.730514,13.14
2005-02-23,0.727008,0.727696,0.726005,0.72448,12.39
2005-02-24,0.725321,0.725321,0.721813,0.719787,11.57
2005-02-25,0.721605,0.721605,0.719476,0.720721,11.49
2005-02-28,0.726586,0.72982,0.726586,0.72759,12.08
2005-03-01,0.725111,0.726903,0.725111,0.72722,12.04
2005-03-02,0.72648,0.726903,0.723275,0.726903,12.5
2005-03-03,0.72648,0.728704,0.726005,0.728491,12.93
2005-03-04,0.726797,0.735889,0.726797,0.735619,11.94
2005-03-07,0.733676,0.735294,0.733514,0.736214,12.26
2005-03-08,0.736811,0.740302,0.736703,0.740521,12.4
2005-03-09,0.73828,0.738989,0.73551,0.735889,12.7
2005-03-10,0.742887,0.743605,0.737517,0.738607,12.49
2005-03-11,0.738225,0.740192,0.738225,0.740192,12.8
2005-03-14,0.740192,0.740905,0.737083,0.737626,12.39
2005-03-15,0.738716,0.74129,0.738716,0.740686,13.15
2005-03-16,0.740412,0.745712,0.739098,0.744823,13.49
2005-03-17,0.744602,0.744602,0.742391,0.743494,13.29
2005-03-18,0.743384,0.744103,0.739809,0.742887,13.14
2005-03-21,0.74118,0.742611,0.737681,0.734808,13.61
2005-03-22,0.735889,0.739973,0.735889,0.739973,14.27
2005-03-23,0.728014,0.72812,0.724795,0.724795,14.06
2005-03-24,0.718907,0.718907,0.717103,0.712708,13.42
2005-03-29,0.708516,0.712099,0.708516,0.710581,14.49
2005-03-30,0.711389,0.712809,0.708918,0.71048,13.64
2005-03-31,0.708416,0.712504,0.708215,0.712504,14.02
2005-04-01,0.711794,0.711794,0.710379,0.711389,14.09
2005-04-04,0.708015,0.708416,0.705119,0.705119,14.11
2005-04-05,0.705517,0.707714,0.702988,0.708416,13.68
2005-04-06,0.71048,0.711896,0.710177,0.711086,13.15
2005-04-07,0.71449,0.716897,0.71449,0.716486,12.33
2005-04-08,0.713114,0.714898,0.713114,0.714898,12.62
2005-04-11,0.717824,0.721709,0.717824,0.721501,11.98
2005-04-12,0.722804,0.722804,0.721709,0.718907,11.3
2005-04-13,0.724113,0.725321,0.7227,0.724323,13.31
2005-04-14,0.725321,0.725321,0.7227,0.721293,14.53
2005-04-15,0.714388,0.715512,0.714082,0.715512,17.74
2005-04-18,0.712504,0.716589,0.711693,0.715001,16.559999
2005-04-19,0.718494,0.721397,0.718494,0.72469,14.96
2005-04-20,0.725111,0.726005,0.724113,0.727326,16.92
2005-04-21,0.72759,0.727908,0.727379,0.72648,14.41
2005-04-22,0.72648,0.732118,0.72648,0.732118,15.38
2005-04-25,0.732279,0.732279,0.729022,0.727908,14.62
2005-04-26,0.728916,0.729395,0.725795,0.724375,14.91
2005-04-27,0.722178,0.723589,0.721813,0.721813,14.87
2005-04-28,0.726903,0.728279,0.726216,0.728279,16.860001
2005-04-29,0.729022,0.734376,0.729022,0.733676,15.31
2005-05-02,0.730193,0.73078,0.729874,0.72998,15.12
2005-05-03,0.728226,0.729288,0.7259,0.726111,14.53
2005-05-04,0.732386,0.732386,0.730994,0.732493,13.85
2005-05-06,0.735294,0.73551,0.732493,0.732493,14.05
2005-05-09,0.731475,0.732011,0.7303,0.730407,13.75
2005-05-10,0.728491,0.730887,0.728385,0.730887,14.91
2005-05-11,0.732493,0.733622,0.73078,0.731315,14.45
2005-05-12,0.726903,0.726903,0.722178,0.716486,16.120001
2005-05-13,0.716486,0.718597,0.712606,0.712606,16.32
2005-05-17,0.71048,0.71048,0.708215,0.710076,14.57
2005-05-18,0.707914,0.712911,0.707514,0.713216,13.63
2005-05-19,0.711491,0.712606,0.711491,0.711693,13.32
2005-05-20,0.713419,0.713521,0.709119,0.708416,13.14
2005-05-23,0.709019,0.709019,0.707614,0.710884,12.95
2005-05-24,0.712606,0.715001,0.711794,0.713012,12.69
2005-05-25,0.713725,0.713725,0.711592,0.714694,12.58
2005-05-26,0.71398,0.71398,0.711592,0.711997,12.24
2005-05-27,0.712606,0.713878,0.712606,0.713521,12.15
2005-05-30,0.713419,0.714184,0.712606,0.712606,12.72
2005-05-31,0.708015,0.708617,0.705816,0.705219,13.29
2005-06-01,0.705916,0.705916,0.697691,0.701902,12.36
2005-06-02,0.697593,0.701705,0.697593,0.700918,11.84
2005-06-03,0.702296,0.702494,0.701213,0.70368,12.15
2005-06-06,0.702988,0.708516,0.702889,0.709421,12.28
2005-06-07,0.709824,0.715001,0.709824,0.714694,12.39
2005-06-08,0.71541,0.716384,0.715103,0.715615,12.7
2005-06-09,0.714388,0.714388,0.712504,0.712809,12.08
2005-06-10,0.712911,0.712911,0.708115,0.706015,11.96
2005-06-13,0.708215,0.708717,0.704424,0.704622,11.65
2005-06-14,0.707714,0.709623,0.707714,0.70932,11.79
2005-06-15,0.709119,0.710783,0.708918,0.713114,11.46
2005-06-16,0.7122,0.717309,0.712099,0.714286,11.15
2005-06-17,0.714082,0.717309,0.714082,0.717309,11.48
2005-06-20,0.717309,0.718494,0.717309,0.714592,11.47
2005-06-21,0.714694,0.716589,0.713623,0.716589,11.08
2005-06-22,0.71582,0.716384,0.715001,0.713776,11.05
2005-06-23,0.712809,0.712809,0.708717,0.707514,12.13
2005-06-24,0.708416,0.711389,0.706614,0.706914,12.18
2005-06-27,0.708416,0.709019,0.707114,0.707714,12.52
2005-06-28,0.706414,0.707214,0.701902,0.702395,11.58
2005-06-29,0.70082,0.701902,0.698617,0.699692,11.77
2005-06-30,0.701016,0.701016,0.694589,0.696913,12.04
2005-07-01,0.691085,0.692185,0.68362,0.683995,11.4
2005-07-04,0.678702,0.679579,0.67838,0.679579,11.54
2005-07-05,0.678979,0.678979,0.674491,0.67838,11.68
2005-07-06,0.676819,0.678104,0.675584,0.672721,12.27
2005-07-07,0.671321,0.679486,0.671321,0.673401,12.49
2005-07-08,0.671006,0.67331,0.671006,0.673401,11.45
2005-07-11,0.675813,0.677186,0.675219,0.678518,11.28
2005-07-12,0.681989,0.685307,0.680782,0.683387,10.95
2005-07-13,0.682082,0.682082,0.673401,0.673401,10.84
2005-07-14,0.676087,0.67861,0.6749,0.675083,10.81
2005-07-15,0.679394,0.679394,0.673582,0.673809,10.33
2005-07-18,0.675584,0.675721,0.673718,0.678518,10.77
2005-07-19,0.675904,0.676682,0.672585,0.673809,10.45
2005-07-20,0.675493,0.677186,0.673083,0.6739,10.23
2005-07-21,0.681106,0.686813,0.681106,0.683387,10.97
2005-07-22,0.686577,0.686577,0.686577,0.686577,10.52
2005-07-25,0.684885,0.684885,0.68171,0.683387,11.1
2005-07-26,0.683293,0.68362,0.681617,0.682687,10.99
2005-07-27,0.681106,0.681292,0.678979,0.680504,10.36
2005-07-28,0.679995,0.679995,0.678887,0.678887,10.52
2005-07-29,0.6832,0.684791,0.68292,0.68348,11.57
2005-08-01,0.68278,0.684885,0.68278,0.68362,12.08
2005-08-02,0.686201,0.687805,0.686201,0.687285,11.75
2005-08-03,0.685918,0.691994,0.685918,0.691181,11.83
2005-08-04,0.691515,0.691994,0.690703,0.691276,12.52
2005-08-05,0.69099,0.692281,0.690417,0.690512,12.48
2005-08-08,0.69099,0.694686,0.69099,0.6943,13.21
2005-08-09,0.695604,0.695894,0.693385,0.691515,12.4
2005-08-10,0.694782,0.69541,0.693914,0.696913,12.38
2005-08-11,0.702001,0.704325,0.701115,0.706914,12.42
